rank,username,pr_count,review_comments,formal_reviews,avg_comment_length,first_seen,last_seen,score
86,palnabarun,16,0,17,7.9,2026-07-03,2026-07-03,0.0786
87,sunya-ch,3,2,4,101.5,2026-05-13,2026-07-16,0.0761
88,troychiu,5,13,16,73.2,2026-05-15,2026-07-20,0.0758
89,elezar,1,6,6,110.7,2026-03-20,2026-03-20,0.0751
90,ardaguclu,3,21,11,77.3,2024-12-09,2026-06-17,0.0745
91,rata,1,2,2,112.0,2026-04-07,2026-04-07,0.0732
92,adrianmoisey,5,17,16,62.6,2026-05-01,2026-07-03,0.0722
93,toVersus,1,1,1,111.0,2025-10-29,2025-10-29,0.0719
94,bitoku,1,2,2,108.0,2026-06-19,2026-06-24,0.0708
95,alaypatel07,1,7,4,100.9,2026-07-20,2026-07-20,0.0699
96,TristonianJones,1,2,1,105.0,2026-07-20,2026-07-20,0.0690
97,yuehaii,1,3,3,103.3,2026-07-14,2026-07-14,0.0687
98,ibihim,1,25,23,76.8,2025-07-23,2026-07-16,0.0677
99,iamzili,1,1,1,101.0,2026-03-12,2026-03-12,0.0659
100,ajaysundark,1,2,2,86.8,2026-06-16,2026-06-16,0.0580
101,marosset,2,1,3,77.0,2026-07-01,2026-07-09,0.0561
102,dims,3,3,4,64.0,2026-06-24,2026-07-22,0.0543
103,stlaz,1,13,3,67.6,2026-07-16,2026-07-17,0.0540
104,Verolop,11,0,11,5.0,2026-07-01,2026-07-18,0.0538
105,enj,2,13,5,58.9,2025-02-25,2026-06-26,0.0534
106,ritazh,1,1,1,76.0,2025-04-22,2025-04-22,0.0509
107,mikebrow,1,3,3,71.0,2026-07-22,2026-07-22,0.0493
108,dashpole,6,4,8,29.7,2026-06-12,2026-07-10,0.0482
109,jdzikowski,3,5,5,46.1,2026-07-17,2026-07-21,0.0449
110,carlory,1,1,1,61.5,2026-07-15,2026-07-15,0.0422
111,SataQiu,2,1,2,50.0,2026-06-28,2026-07-12,0.0399
112,QiWang19,1,1,1,56.5,2026-07-14,2026-07-14,0.0392
113,samuelkarp,1,0,1,52.0,2026-07-14,2026-07-14,0.0358
114,BenTheElder,4,3,6,25.3,2025-10-01,2026-07-22,0.0357
115,cheftako,1,1,1,49.0,2026-07-15,2026-07-15,0.0347
116,ngopalak-redhat,1,2,2,42.0,2026-07-13,2026-07-13,0.0312
117,darshansreenivas,1,2,1,38.0,2026-02-07,2026-02-07,0.0288
118,kerthcet,1,0,1,40.0,2025-11-21,2025-11-21,0.0286
119,AkihiroSuda,1,1,1,38.0,2026-06-27,2026-06-27,0.0281
120,micahhausler,1,2,1,36.7,2026-03-16,2026-03-16,0.0280
121,deads2k,1,5,5,28.4,2026-05-26,2026-05-26,0.0251
122,mrunalp,4,2,6,8.4,2026-07-09,2026-07-22,0.0248
123,hashim21223445,5,0,6,0.0,2025-02-09,2025-10-04,0.0231
124,rhamitarora,4,0,4,0.0,2026-07-04,2026-07-20,0.0185
125,Chunxia202410,1,1,1,18.0,2026-07-07,2026-07-07,0.0161
126,jsafrane,1,1,1,18.0,2026-07-01,2026-07-01,0.0161
127,xmudrii,1,0,1,14.0,2026-07-02,2026-07-02,0.0130
128,mkumatag,2,0,2,5.0,2026-07-01,2026-07-05,0.0122
129,bwplotka,1,0,1,7.0,2026-07-21,2026-07-21,0.0088
130,upodroid,1,0,1,5.0,2026-07-16,2026-07-16,0.0076
131,ArangoGutierrez,1,0,1,1.0,2026-04-21,2026-04-21,0.0052
132,r0b2g1t,1,0,1,0.0,2025-03-06,2025-03-06,0.0046
133,dturnersr1024-spec,1,0,1,0.0,2026-07-20,2026-07-20,0.0046
134,booxter,1,0,1,0.0,2026-05-20,2026-05-20,0.0046
135,lavishpal,1,0,1,0.0,2026-07-04,2026-07-04,0.0046
136,benchwang,1,0,1,0.0,2026-02-05,2026-02-05,0.0046
